branch,address,address_,address_latlon,lat,lon
總公司,"台北市大安區仁愛路四段296號5,7,11樓 ",台北市大安區仁愛路四段296號,"25.037404, 121.553567",25.037404, 121.553567
中山通訊處,台北市大安區信義路三段153號5樓 ,台北市大安區信義路三段153號,"25.033674, 121.542535",25.033674, 121.542535
松山通訊處,台北市松山區南京東路四段126號13樓A1室 ,台北市松山區南京東路四段126號,"25.051342, 121.555344",25.051342, 121.555344
台北分公司,台北市大安區信義路三段153號5樓 ,台北市大安區信義路三段153號,"25.033674, 121.542535",25.033674, 121.542535
北投分公司,台北市北投區中央北路二段335之2號6樓A.B室 ,台北市北投區中央北路二段335之2號,"25.138286, 121.488373",25.138286, 121.488373
忠孝通訊處,台北市大安區仁愛路四段85號14樓B室 ,台北市大安區仁愛路四段85號,"25.038349, 121.547888",25.038349, 121.547888
花蓮通訊處,花蓮縣花蓮市國聯一路41號4樓A室 ,花蓮縣花蓮市國聯一路41號,"23.99316422, 121.60385184",23.99316422, 121.60385184
羅東通訊處,宜蘭縣羅東鎮公正路157號3樓A室 ,宜蘭縣羅東鎮公正路157號,"24.678463, 121.769648",24.678463, 121.769648
中和分公司,新北市中和區板南路663號15樓 ,新北市中和區板南路663號,"25.008173, 121.483488",25.008173, 121.483488
三重通訊處,新北市三重區重新路四段89號2樓 ,新北市三重區重新路四段89號,"25.055587, 121.48612",25.055587, 121.48612
板橋通訊處,新北市板橋區三民路一段216號10樓D室 ,新北市板橋區三民路一段216號,"25.018991, 121.479063",25.018991, 121.479063
基隆通訊處,基隆市信義區信一路148號4樓 ,基隆市信義區信一路148號,"25.129631, 121.74677",25.129631, 121.74677
新店通訊處,新北市新店區中正路190號10樓 ,新北市新店區中正路190號,"24.97247, 121.540727",24.97247, 121.540727
中崙通訊處,台北市松山區南京東路四段126號13樓A1室 ,台北市松山區南京東路四段126號,"25.051342, 121.555344",25.051342, 121.555344
城中通訊處,台北市大同區延平北路2段202號18樓之1 ,台北市大同區延平北路2段202號,"25.059094, 121.511308",25.059094, 121.511308
苗栗分公司,苗栗縣苗栗市中正路496號2樓A室 ,苗栗縣苗栗市中正路496號,"24.559049, 120.821287",24.559049, 120.821287
新竹通訊處,新竹市四維路130號八樓之一、之二、之三、之四 ,新竹市四維路130號,"24.80069, 120.961189",24.80069, 120.961189
中壢通訊處,桃園市中壢區民族路35號9樓 ,桃園市中壢區民族路35號,"24.955673, 121.214853",24.955673, 121.214853
桃園分公司,桃園市桃園區中山路845號13樓D室 ,桃園市桃園區中山路845號,"24.989104, 121.287453",24.989104, 121.287453
竹北通訊處,新竹縣竹北市三民路133號4樓B室 ,新竹縣竹北市三民路133號,"24.83291, 121.01644",24.83291, 121.01644
八德通訊處,桃園市桃園區中山路845號5樓A室 ,桃園市桃園區中山路845號,"24.989104, 121.287453",24.989104, 121.287453
盛壢通訊處,桃園市中壢區民族路35號9樓 ,桃園市中壢區民族路35號,"24.955673, 121.214853",24.955673, 121.214853
南崁通訊處,桃園市蘆竹區南崁路1段83號6樓之8、6樓之9 ,桃園市蘆竹區南崁路1段83號,"25.05108, 121.28871",25.05108, 121.28871
大里通訊處,台中市大里區國光路2段259號之1號3樓之2 ,台中市大里區國光路2段259號,"24.105903, 120.680394",24.105903, 120.680394
中南通訊處,台中市西區中華路一段35號7樓A1室 ,台中市西區中華路一段35號,"24.142657, 120.673681",24.142657, 120.673681
台中分公司,台中市北屯區崇德路2段128號2樓B室 ,台中市北屯區崇德路2段128號,"24.171025, 120.685673",24.171025, 120.685673
嘉義通訊處,嘉義市民族路246號7樓A室 ,嘉義市民族路246號,"23.476532, 120.454902",23.476532, 120.454902
溪湖通訊處,彰化縣溪湖鎮東環路555號2樓B室 ,彰化縣溪湖鎮東環路555號,"23.963373, 120.481128",23.963373, 120.481128
北港分公司,雲林縣北港鎮義民路80號6樓A室 ,雲林縣北港鎮義民路80號,"23.56783, 120.302558",23.56783, 120.302558
斗南通訊處,雲林縣斗南鎮延平路二段368號10樓A室 ,雲林縣斗南鎮延平路二段368號,"23.677346, 120.476125",23.677346, 120.476125
草屯分公司,南投縣草屯鎮中正路613號之一2樓A室 ,南投縣草屯鎮中正路613號,"23.978872, 120.68572",23.978872, 120.68572
員林通訊處,彰化縣員林市員東路二段498號5樓之507室 ,彰化縣員林市員東路二段498號,"23.957609, 120.5769992",23.957609, 120.5769992
彰化通訊處,彰化縣彰化市中山路二段838號3樓A區 ,彰化縣彰化市中山路二段838號,"24.0830825, 120.5497557",24.0830825, 120.5497557
清水通訊處,台中市清水區中華路151之2號 ,台中市清水區中華路151之2號,"24.264419, 120.562804",24.264419, 120.562804
豐原通訊處,台中市豐原區圓環北路一段60號10樓A室 ,台中市豐原區圓環北路一段60號,"24.25567, 120.714184",24.25567, 120.714184
大甲通訊處,台中市大甲區文武路2號8樓A室 ,台中市大甲區文武路2號,"24.34558, 120.62703",24.34558, 120.62703
中新通訊處,台中市西區台灣大道2段573號6樓G室 ,台中市西區台灣大道2段573號,"24.157501, 120.658023",24.157501, 120.658023
彰興通訊處,彰化縣彰化市中山路二段838號3樓A區 ,彰化縣彰化市中山路二段838號,"24.0830825, 120.5497557",24.0830825, 120.5497557
中華通訊處,高雄市前金區中華三路146、148號11樓A2室 ,高雄市前金區中華三路146、148號,"22.631115, 120.295539",22.631115, 120.295539
中正分公司,高雄市新興區中正三路2號18樓A室 ,高雄市新興區中正三路2號,"22.630955, 120.312779",22.630955, 120.312779
高雄分公司,高雄市前金區中華三路146、148號14樓B2室 ,高雄市前金區中華三路146、148號,"22.631115, 120.295539",22.631115, 120.295539
新興通訊處,高雄市苓雅區四維三路6號6樓A4室 ,高雄市苓雅區四維三路6號,"22.61996, 120.311131",22.61996, 120.311131
台東通訊處,台東縣台東市四維路二段630號1樓C室 ,台東縣台東市四維路二段630號,"22.7660581, 121.146744",22.7660581, 121.146744
新化分公司,台南市新化區中正路506號5樓A室 ,台南市新化區中正路506號,"23.038753, 120.307285",23.038753, 120.307285
東港分公司,屏東縣東港鎮中山路7號1樓A室 ,屏東縣東港鎮中山路7號,"22.465613, 120.452193",22.465613, 120.452193
屏東通訊處,屏東縣屏東市濟南街10號4樓A2室 ,屏東縣屏東市濟南街10號,"22.677031, 120.490991",22.677031, 120.490991
鳳山通訊處,高雄市鳳山區光復路65號5樓A1室 ,高雄市鳳山區光復路65號,"22.628847, 120.360302",22.628847, 120.360302
岡山通訊處,高雄市岡山區中山北路28號8樓C室 ,高雄市岡山區中山北路28號,"22.793857, 120.299256",22.793857, 120.299256
臺南通訊處,台南市中西區西門路一段496號12樓A2室 ,台南市中西區西門路一段496號,"22.984138, 120.197752",22.984138, 120.197752
新營通訊處,台南市新營區中正路7號8樓A室 ,台南市新營區中正路7號,"23.306287, 120.315893",23.306287, 120.315893
永康通訊處,台南市永康區中華路1之3號4樓 ,台南市永康區中華路1之3號,"22.998772, 120.234253",22.998772, 120.234253
左營通訊處,高雄市左營區自由四路338號4樓 ,高雄市左營區自由四路338號,"22.68507235, 120.31677471",22.68507235, 120.31677471
